tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF
FALSE,2,772,0,439,333,0,0.4375799584,0.5624200416,NA,0.5793761981,0.2188639406,NA,0.0031412867,0.0094698627,NA,NA,23,2:0,-456.9959421197,-860.8000078392,-897.9918842394,31.3401444077,-829.4598634315,31.3401444077,-829.4598633597,8,R
TRUE,2,5854,588,1842,3424,0.1284074648,0.5638584182,0.307734117,0.1940601939,0.4419236702,0.213479215,Inf,0.0022967698,0.0022032312,0.050420199,1.3510178278,23,2:1,-4965.9857806445,-9827.8729956819,-9907.9715612889,1039.4699733096,-8788.4030223723,130.6538049637,-9697.219190653,12,P
TRUE,2,2747,217,1583,947,0.1007066879,0.3293487248,0.5699445873,0.1085641371,0.3603620007,0.1651928705,Inf,0.0016695507,0.0020759363,0.050359699,1.8652209459,23,2:2,-2827.6922933831,-5560.3654105331,-5631.3845867662,464.4874515996,-5095.8779589334,94.8486331887,-5465.5167772849,12,P
FALSE,2,1064,0,458,606,0,0.5747667819,0.4252332181,NA,0.6840038561,0.2939143749,NA,0.0027308149,0.0113303208,NA,NA,24,2:0,-412.1074637633,-768.4566021673,-808.2149275266,28.0667614495,-740.3898407179,28.0667614495,-740.3898406475,8,R
TRUE,2,2816,167,508,2141,0.0694360819,0.7508919485,0.1796719697,0.1097051176,0.4946888194,0.2434138491,Inf,0.0020260216,0.0014210702,0.050279299,1.846085089,24,2:1,-3338.9352254089,-6582.5535782105,-6653.8704508179,145.790166609,-6436.7634116015,13.257672012,-6569.2959062031,12,P
TRUE,2,2041,483,668,890,0.2824010252,0.3144961393,0.4031028355,0.2744499213,0.5181025004,0.2445527496,Inf,0.0036339372,0.0022469058,0.051094899,1.2287609138,25,2:0,-1261.5308800391,-2431.6074181244,-2499.0617600781,464.2818934904,-1967.325524634,26.4896895907,-2405.1177285244,12,P
TRUE,2,7426,1151,1484,4791,0.1935122915,0.613415324,0.1930723845,0.1327438551,0.4066080934,0.1916233018,Inf,0.0022977972,0.0017457844,0.050279299,1.6097079934,25,2:1,-7648.2345407333,-15189.5161698498,-15272.4690814666,1604.6068572875,-13584.9093125623,148.7361401884,-15040.7800296212,12,P
TRUE,2,2122,388,402,1332,0.2207319937,0.5970681564,0.18219985,0.1316905835,0.38941231,0.1939178611,Inf,0.002079728,0.0012374735,0.050279299,1.6175961887,25,2:2,-2363.8359727875,-4635.7505737448,-4703.6719455749,420.8148742163,-4214.9356995285,37.4991646081,-4598.2514091309,12,P
FALSE,2,112,0,95,17,0,0.1547476812,0.8452523188,NA,0.4497358723,0.172578546,NA,0.0050322557,0.0030381042,NA,NA,26,2:0,-97.6129119404,-157.4778329104,-179.2258238807,3.3785153442,-154.0993175662,3.3785153442,-154.0993175566,8,F
TRUE,2,1035,198,287,550,0.229681692,0.2676465413,0.5026717666,0.4023427025,0.4643878054,0.240323514,Inf,0.0020689551,0.0014425221,0.051136399,1.1456021674,27,2:1,-845.422280132,-1607.5386797956,-1666.844560264,198.6580083986,-1408.880671397,10.2964209796,-1597.2422588118,12,P
TRUE,2,275,14,154,107,0.0692389776,0.5563020089,0.3744590134,0.1275241267,0.4905619543,0.2374749531,0.0112581885,0.0039018731,0.0035060603,0.077777799,2.5634882545,28,2:0,-189.2340624344,-311.0668716968,-354.4681248688,38.4882101317,-272.5786615651,14.462375293,-296.6044963071,12,P
TRUE,2,2589,129,775,1685,0.0695411581,0.2956739153,0.6347849266,0.1689806612,0.3871069603,0.1927727198,Inf,0.0025869399,0.0020924615,0.052083299,1.4455472561,28,2:1,-2533.5639858446,-4972.8196479322,-5043.1279716892,455.9616765421,-4516.8579713901,152.9961578999,-4819.8234900156,12,P
TRUE,2,1690,59,949,682,0.0524505797,0.5553701427,0.3921792776,0.1356110369,0.323861667,0.1604658572,Inf,0.0019302355,0.0012939028,0.050359699,1.5907203365,28,2:2,-1843.3700889825,-3597.55037227,-3662.740177965,244.4209567192,-3353.1294155508,92.2339086384,-3505.3164635671,12,P
TRUE,2,603,68,247,288,0.1328887274,0.4043787849,0.4627324878,0.2162138548,0.5898953078,0.2736367452,Inf,0.0031992401,0.0028434747,0.054687499,1.3385670328,29,2:0,-368.7385385261,-660.6540706915,-713.4770770522,74.8841851141,-585.7698855774,4.2656185854,-656.3884521053,12,P
FALSE,2,1175,0,756,419,0,0.2791159936,0.7208840064,NA,0.3454568648,0.2138579135,NA,0.035125564,6.788477e-4,NA,NA,29,2:1,-651.7325589436,-1246.9129304746,-1287.4651178872,340.2908549514,-906.6220755232,340.2908549514,-906.6220754805,8,F
TRUE,2,1285,162,633,490,0.1575157478,0.47988053470000003,0.3626037175,0.1815592193,0.435280944,0.2142499377,Inf,0.002843315,0.0034642491,0.050359699,1.3838405727,30,2:0,-926.590932603,-1767.2796972381,-1829.1818652061,309.1111988826,-1458.1684983555,81.0160792438,-1686.2636179353,12,P
TRUE,2,4971,523,1496,2952,0.1324691695,0.2956803468,0.5718504837,0.1135716485,0.3452928198,0.1733093921,Inf,0.0021746678,0.0015704184,0.050420199,1.7984012944,30,2:1,-5276.2334183894,-10450.3303211057,-10528.4668367788,1071.2249250269,-9379.1053960788,281.8032885169,-10168.5270325466,12,P
TRUE,2,2240,321,1182,737,0.2097913707,0.286976007,0.5032326223,0.5136427294,0.2945644771,0.1472833512,Inf,0.0015967882,9.351929e-4,0.050359699,1.1087017993,30,2:2,-2289.4562753858,-4486.3417770334,-4554.9125507716,672.9737706098,-3813.3680064236,102.7250928964,-4383.6166840649,12,P
TRUE,2,987,115,241,631,0.1380303545,0.2402836196,0.6216860259,0.1352186165,0.5213297406,0.2479260431,Inf,0.002763717,0.0023805854,0.050847499,1.6026647568,31,2:0,-817.3477772855,-1551.9595140978,-1610.695554571,121.9218237136,-1430.0376903842,12.4849999418,-1539.4745141587,12,P
TRUE,2,5329,411,700,4218,0.0980340728,0.7737415647,0.1282243625,0.137130525,0.4082213404,0.1991814567,Inf,0.0020658768,0.0013306506,0.050279299,1.5789129445,31,2:1,-6865.764087048,-13628.5571475085,-13707.5281740961,653.1263306901,-12975.4308168184,58.3949625154,-13570.1621850092,12,P
TRUE,2,284,8,120,156,0.029677474,0.4144346319,0.5558878941,0.0602927846,0.3281813446,0.151787156,9.26172425476121e-5,0.0024772821,0.0013806513,0.052083299,7.344282901,31,2:2,-312.8181958892,-557.8487009205,-601.6363917784,22.1585350245,-535.6901658959,17.4629574112,-540.3857435043,12,P
TRUE,2,336,11,55,270,0.0334368402,0.1654739766,0.8010891832,0.0627864711,0.5353180134,0.260471371,9.97091355143216e-5,0.0032882264,0.0018964568,0.054263599,7.3668207811,32,2:0,-388.4817293229,-707.1581247263,-752.9634586459,3.6063651365,-703.5517595898,2.7756056436,-704.3825190808,12,P
TRUE,2,1792,55,566,1171,0.0373058803,0.3152204534,0.6474736663,0.0958075986,0.4023383374,0.2014997504,0.041126135,0.0033880114,0.0014814389,0.050314499,2.1059808956,32,2:1,-1873.5972744336,-3657.3014977448,-3723.1945488672,153.4159648465,-3503.8855328983,84.4346814545,-3572.866816287,12,P
TRUE,2,10265,822,2326,7117,0.1032673487,0.2285919927,0.6681406587,0.1133230625,0.4531616562,0.2114466473,Inf,0.0076226325,0.0058553036,0.050359699,1.7998254248,33,2:0,-7251.5601906767,-14392.2824374,-14479.1203813535,3256.6954727675,-11135.5869646325,1515.0687541019,-12877.2141867369,12,P
TRUE,2,12228,1797,1333,9098,0.1882475058,0.7076380943,0.1041143999,0.1197746983,0.3721694632,0.1785420763,Inf,0.0022946034,0.0016437991,0.050314499,1.724364449,33,2:1,-15180.8329092709,-30248.7280143456,-30337.6658185418,2817.2239965162,-27431.5040178294,302.9185762174,-29945.8094380966,12,P
